Age,Experience,Salary,Credit_Score
,14.0,85706.1,681.7
29.2,8.9,62070.8,642.7
39.4,15.2,89892.6,680.0
46.0,22.2,113330.9,743.2
30.1,8.1,66447.5,Error_404
30.5,8.1,,662.8
48.5,22.6,104032.2,642.5
36.4,16.1,82195.2,702.6
29.9,6.2,49839.0,685.6
35.7,14.3,90501.7,758.0
27.6,6.3,62149.8,643.0
31.6,6.3,58544.6,671.9
36.4,11.9,77206.9,682.8
29.7,5.3,50291.3,722.6
29.7,3.8,63626.8,655.6
27.6,5.5,57151.2,666.3
,1.9,46239.0,676.2
33.6,12.5,81170.8,674.6
25.7,2.7,50612.5,633.6
22.9,1.3,45014.7,653.6
44.0,21.7,101223.2,731.0
,8.2,66938.7,622.9
30.1,10.5,81030.8,665.5
29.7,1.4,50921.1,631.3
24.6,5.6,64900.7,697.1
29.2,10.9,70106.1,597.6
26.3,0.8,37428.1,630.2
37.4,13.0,78387.8,689.8
,5.2,55863.3,720.8
31.6,7.7,68470.3,660.5
27.1,5.2,47096.7,632.1
44.1,24.8,122102.4,763.5
32.1,9.9,68886.0,606.3
21.5,1.5,42480.5,555.1
41.5,16.6,,700.6
21.8,0.2,32425.5,623.5
,11.7,79128.6,621.5
26.7,5.7,57398.7,681.8
23.9,0.6,35426.7,657.5
,11.6,68249.3,641.2
35.4,15.9,86044.3,619.7
34.1,11.4,82457.9,703.1
31.8,9.1,65926.5,689.6
28.1,7.6,55257.8,652.2
22.4,1.8,44255.8,718.7
26.9,4.2,51360.1,611.1
24.0,6.3,45460.2,586.9
36.2,18.5,95099.5,644.8
32.6,12.7,77092.2,663.4
25.5,4.1,55794.0,660.7
35.5,12.6,87022.8,661.4
33.3,6.9,66390.9,680.8
29.2,4.6,52409.4,608.3
36.4,14.9,79147.6,730.6
40.2,18.2,107610.8,677.1
36.4,17.5,92646.8,717.6
,3.3,49928.4,664.2
28.7,7.5,62458.3,675.6
35.6,12.7,78940.7,694.0
37.3,17.8,92691.3,692.6
,6.2,,685.2
35.1,8.5,,723.4
22.8,1.1,,653.5
23.6,0.4,38573.9,675.6
40.6,16.5,85936.4,677.6
41.6,20.8,103081.9,740.9
32.1,9.4,66996.9,637.1
40.1,18.0,101604.8,752.2
35.2,12.9,65424.4,668.8
24.5,4.8,59974.7,591.8
,12.9,,675.1
45.8,22.3,96545.9,664.4
36.1,9.7,67426.7,705.8
,22.5,,668.7
39.4,11.0,65836.3,661.0
,16.6,,597.0
35.3,10.7,66536.3,652.5
30.2,7.6,71585.2,563.4
39.3,10.7,76880.7,615.3
25.5,5.9,,681.4
,8.2,68336.2,686.9
33.1,12.9,72925.4,683.1
,21.8,Pending,636.2
26.3,5.9,60008.4,650.6
23.3,3.5,44485.5,646.4
28.4,6.0,61522.8,610.5
,17.3,90768.0,740.8
40.3,12.6,76015.9,715.6
,5.8,60840.6,652.4
,14.1,84539.7,669.8
30.1,10.8,70525.0,668.5
41.2,17.7,99044.1,600.8
22.4,4.4,47745.4,635.0
34.9,7.4,65215.8,642.5
32.4,6.9,63554.9,624.7
22.3,1.7,43576.6,633.4
29.2,12.4,78737.6,730.4
38.2,12.1,70009.8,701.9
31.7,10.0,74742.9,640.5
33.8,8.1,,690.6
18.5,1.3,41355.3,693.1
26.8,6.6,65149.6,690.7
,7.3,58253.1,660.9
25.7,3.6,43703.0,625.6
29.4,8.7,58346.0,686.6
37.1,13.2,82727.3,689.9
,25.1,108866.3,723.6
33.0,11.4,82963.8,691.3
34.4,12.1,65771.6,710.8
32.9,9.4,76695.6,644.5
29.5,5.4,Pending,711.7
,9.8,68880.1,664.7
27.9,10.5,68720.9,738.8
55.5,29.7,131113.5,683.5
31.5,8.5,65195.2,732.4
32.2,12.4,82753.6,672.3
36.4,9.7,69738.1,646.7
23.0,0.7,42703.2,626.6
44.7,19.1,95609.7,676.5
38.2,16.0,87761.7,693.4
44.5,16.3,,709.9
30.0,2.7,39623.9,637.0
42.5,21.2,96926.1,684.0
26.1,1.2,47360.7,737.9
38.6,14.7,,746.4
53.6,27.5,121651.0,724.7
21.2,2.1,,643.9
29.5,5.5,58146.8,663.9
36.0,10.8,69692.8,696.5
22.7,6.0,54025.1,604.5
20.9,2.4,48195.1,631.4
26.4,10.5,66753.6,586.1
22.7,1.5,46546.0,661.4
,13.8,,701.8
,2.6,53079.6,639.0
44.6,22.4,109561.4,752.2
,3.7,52482.1,612.2
25.3,7.4,67184.0,592.0
33.4,16.5,97851.8,675.8
22.0,0.2,45531.1,685.9
35.0,11.8,66254.7,737.3
42.4,20.5,,666.4
18.7,2.9,45455.5,680.5
33.2,11.5,74561.7,664.9
30.2,12.1,78825.5,653.4
40.3,16.3,85135.0,715.9
23.2,0.1,41247.0,672.5
19.7,0.6,37914.0,Error_404
34.6,14.2,79469.0,728.3
31.2,12.4,70094.3,717.6
,12.0,71395.7,642.6
37.6,12.8,71556.3,691.1
23.6,4.6,48800.0,667.0
35.4,11.9,80842.3,681.2
32.8,12.3,72286.7,643.5
23.9,4.3,66017.5,620.9
,24.9,117245.2,692.2
32.7,13.8,82296.2,712.3
20.8,0.5,37116.9,663.4
33.7,15.3,89258.8,652.5
30.1,2.2,43729.5,691.1
38.4,16.3,89500.1,562.9
39.2,19.3,110606.7,724.3
26.1,3.4,49823.3,582.6
,17.7,98867.4,664.2
,13.3,76390.9,624.5
40.4,16.6,,629.1
49.4,25.2,124377.0,745.3
28.4,8.0,60975.8,638.2
24.2,4.0,,662.3
24.1,2.9,,646.2
18.6,3.5,47608.2,656.2
26.8,9.4,71311.6,656.7
,12.7,,626.3
39.1,12.2,79749.6,718.1
37.9,16.6,82001.3,656.0
33.8,10.1,66676.4,605.4
44.6,21.6,103647.2,672.0
,7.9,63276.1,738.3
,31.8,138387.4,748.2
36.6,15.0,85904.5,659.3
,3.1,42751.5,630.6
18.6,1.4,46199.6,624.4
,13.9,,756.0
27.9,8.2,67435.8,671.2
,15.7,92539.9,684.1
33.8,13.8,85527.3,708.9
28.2,9.4,70548.0,665.9
30.3,3.2,49326.1,650.2
26.8,2.1,38051.5,645.7
28.4,6.4,61431.7,653.9
43.3,16.9,91592.0,685.1
,11.7,,697.0
19.5,0.0,33718.5,641.0
38.0,11.4,68751.1,705.2
36.7,13.1,84513.4,670.2
,2.9,48589.6,646.8
32.7,11.2,77096.9,585.4
29.8,10.5,71538.6,696.3
18.7,0.9,42717.5,651.3
37.6,12.9,83278.3,715.2
42.2,14.5,80878.6,568.6
36.5,18.7,96473.8,756.5
42.1,18.4,92979.9,678.7
,1.0,40891.6,686.5
23.0,2.5,45946.3,604.5
34.3,14.1,83471.5,693.2
33.5,14.1,79937.1,624.9
,14.1,88639.9,647.6
60.3,40.8,157992.5,797.2
37.4,14.6,82767.0,667.1
40.9,19.1,95054.9,690.6
38.9,17.6,100130.9,712.6
34.5,15.2,86616.2,688.8
27.7,7.5,67592.8,661.5
40.3,16.1,80787.5,695.3
27.3,3.8,52787.4,750.8
27.2,8.1,68764.5,652.0
28.4,6.1,58762.7,664.9
34.9,10.7,77292.4,711.8
45.5,28.5,122965.4,735.2
28.6,4.9,61861.1,704.6
35.5,15.5,97964.7,696.6
,2.9,46891.0,607.5
25.9,6.2,56446.1,717.2
35.3,18.7,,624.7
27.6,10.5,79440.6,667.4
23.5,1.4,41519.8,616.9
27.1,4.3,Pending,651.5
34.7,15.4,84901.4,682.6
28.1,4.2,45748.9,669.0
28.7,11.7,70601.7,674.4
32.2,10.4,66073.0,728.9
23.2,4.8,50522.6,664.4
47.2,27.2,,684.6
37.2,15.1,86385.1,713.0
25.6,6.2,66355.9,698.8
,11.5,,615.6
29.7,4.7,59038.7,683.3
37.1,16.8,89388.5,702.2
28.2,3.7,50732.2,644.4
27.7,9.1,70620.4,710.4
37.6,14.0,76506.1,669.3
43.3,16.9,92690.2,691.5
15.0,0.4,42025.1,623.0
26.9,7.3,64434.2,654.5
,6.2,60047.2,616.0
26.2,4.8,66596.6,594.7
47.2,24.1,109182.2,758.3
33.4,13.2,77064.6,633.0
,0.1,37145.5,605.0
38.9,17.3,89251.3,591.6
52.5,27.0,,679.4
41.0,18.3,,629.1
25.2,2.2,,716.0
26.9,6.1,55524.7,694.2
40.7,20.1,96244.1,653.8
25.0,4.3,55373.0,740.2
36.7,13.6,77890.6,712.7
36.9,16.2,91755.9,Error_404
25.5,2.6,48768.3,550.9
37.7,9.5,60992.7,767.1
40.5,15.9,95527.9,625.5
22.8,1.8,54394.1,579.8
33.6,8.0,60874.4,708.1
20.8,0.0,38114.7,739.2
38.9,23.1,Pending,733.3
20.4,1.4,45995.7,663.4
22.9,6.5,62731.7,669.5
,11.0,83188.8,698.1
43.6,21.5,103705.8,717.5
28.5,1.5,40469.2,668.3
42.3,19.3,91019.3,688.7
31.4,10.1,66590.9,660.3
26.6,2.1,46278.2,623.1
29.1,13.7,90063.3,646.9
34.3,11.6,72189.4,600.9
29.5,5.2,56713.7,655.1
28.1,10.6,71593.1,616.7
32.3,6.9,66694.4,620.6
33.9,10.9,85359.1,675.0
36.1,15.3,83236.8,727.8
46.6,22.7,105617.2,729.9
,0.1,,595.0
49.6,27.1,124602.3,659.6
28.4,5.6,Pending,694.4
29.4,8.8,69276.8,619.5
34.2,14.7,,659.3
36.7,12.2,79697.1,695.5
24.5,5.0,60598.7,610.2
30.5,8.3,69107.5,665.3
26.6,6.1,60704.3,599.9
,5.3,61188.6,633.4
39.8,16.8,96236.9,692.4
38.0,12.9,85479.2,612.2
,4.5,56613.7,667.5
38.4,17.2,90754.8,676.0
,12.5,78108.8,5000
5.0,16.5,200000,683.3
150.0,15.0,500000000,730.9
